,平台,情感短语,用户印象
10,帮客金融,"[[['知道投资体验', '体验怎么样']]]",[]
11,普交所,"[[['到期周一提现', '到账'], ['没有任何理由', '叫我用小额提现也就是', '是1000或2000的提']]]",[]
12,芝麻宝金服,"[[['担心平台跑', '跑路']], [['到期三', '给个好评', '坐等收益']]]",[]
13,恒大金服,"[[['位列中国房地产行业三甲之列'], ['还有接近', '接近9个百分点'], ['上线']]]",[]
14,石投金融,"[[['没有问题', '顶一个']], [['希望优化']], [['还有很多活动非常给力']], [['端方便']], [['投了很长时间', '希望平台越来越好']]]","['时间长', '平台好']"
15,雍和金融,"[[['支持下我投资的平台', '开始投资', '算稳健', '希望越做']]]",[]
16,钱多多,"[[['有托管']], [], [['感谢广大的顾客对我们钱多多的信任', '持续进步']], [['是取现时间比较久', '感觉客服比较认真']], [['是百万投资']], [['投了两家房产抵押平台']]]","['时间久', '感觉认真']"
17,信用宝,"[[['是新疆的宝粉', '支持信用宝', '吃羊肉串']], [['到账'], ['请教各位大神']], [['发现提现日期为', '为6月16']], [['出去那么多钱']], [['喜欢这个平台', '投当天', '到账', '投一段时间', '考虑重仓']]]",['钱多']
18,投这家,"[[['是一个小而美的新平台', '没有P2P发展的原罪', '没有历史包袱'], ['降三次息', '要求不能再降']]]",['平台小']
19,集利财富,"[[['看了几期的运营数据', '算稳定', '是一直没正式上', '上存管'], ['有存管方面的动态', '上了存管', '考虑试试', '试试投']]]",[]
20,e融e贷,[[['是银行理财']]],[]
21,微拍贷,"[[], [['投了好几次短期'], ['算透明', '还是挺稳定'], ['说下提现', '收费这块', '投短期经常提现', '是很不错'], ['考虑投', '投一年期']]]",[]
22,湖湘财富,"[[['希望顺利备案']], [['看湖', '投了20万', '继续支持', '支持湖湘贷']]]",[]
23,果树财富,"[[], [['放这里', '有点收益']], [['希望提高', '提高安全性', '保证投资人的利益']], [['没有投资', '投资过这家的标', '知道怎么样']]]",[]
24,口袋财行,"[[['做储蓄', '推荐这个', '做了次18天短期', '注册什么', '觉得很简单明了', '是我比较喜欢', '没那么多天书'], ['到期了呵呵'], ['喜欢期限']]]",['天书多']
25,链车金服,"[[['担心了好几个月', '到账']], [['碰到这样的情况', '请教一下大家', '投资了8000']]]",[]
26,积木盒子,"[[['没人负责', '负责数据更新', '是对投资者负责人的态度', '希望网贷重视']], [['没有标', '是怎么回事'], ['有标']], [['喜欢积木盒子的灵活性', '标满一个月']], [['投了新手']], [['有资金到期', '到期回款', '满意逾期', '选择自动投标']], [['放一些放在', '放在积木这边', '标榜高收益', '还有他们平台有', '有很多短期的标', '适合我们这种小投资人资金过度'], ['值得信赖']], [], [['提现要', '要手续费']], [], [['是分散', '有15%以上', '做全实物', '抵质押', '希望这样放心靠谱的平台越来越多', '放心靠谱']], [['值得信赖']], [['有风投', '急需解决', '解决坏账问题']]]","['标满', '收益高', '投资人小', '实物全', '靠谱多']"
27,地标金融,"[[], [['汇付天下']]]",[]
28,诚乾贷,"[[['去现场', '到钱']]]",[]
29,人人贷,"[[['说偏偏周六23号才能退出', '估计又是', '是周一', '是明天', '无语', '是收费']], [['是一个老平台', '没问题']], [['是大平台的通病']], [['知道为什么这两天光发短信', '说是冇办息券到期']], [['缴资本']], [['喜欢这种合规程度高的平台']], [['值得信任']], [], [['知道这个网站的理财效果不错', '吸引人']], [['计划退出', '退出费用高']], [['觉得年华收益有点低', '是安全最重要']], [['是在人人贷做的散标投资', '是能够打动', '打动投资者的心'], ['做投资理财', '觉得好']], [['准备退出', '退出退', '退了１天', '是新手表１Ｗ如果买', '知道转', '转到猴年马月利息', '拖时间实际利率', '是不会再投']], [], [], [], [['准备找', '找一个好的投资理财产品', '发现了WE理财', '理财保本基金', '享受1折的费率优惠']], [], [['害怕冒险', '是最好']], [], [['是网贷里面的黄埔军校']], [['喜欢人人贷推出的&ldquo'], ['就是防震抗跌', '就是喜欢', '喜欢这种稳稳的赶脚']], [], [['让你们的老妈到西单大街支叉八', '是公平交易', '说你们', '感谢你们', '放一年提心吊胆的你们叉', '叉老妈就给个0，大元宵', '是差席去搞', '搞粉钱', '给钱3000年钱', '给个0', '偷点钱']], [['还这种收益']], [['靠前']], [['是降', '降息', '搞活动']], [['引进第三方担保', '是耍流氓'], ['投你人人贷']], [], [['是没有', '没有什么优势']], [], [['准备投资'], ['继续关注']], [['听别人说', '说，安', '安不安全要体验', '还是靠谱']], [['喜欢人人贷']], [['无语', '无语']], [['要第三方担保'], ['感觉人人贷', '是一个不错的平台']], [], [], [['要3天']], [['保障机制', '想信平台能更好的加强', '加强风控', '考虑投资']], [['兑投资人', '逾期了钱']], [['赞一个']], [['投过两笔款', '排名第一', '拥抱监管的名义', '取消保证金', '宣传去刚兑', '是猪脑子', '可知投资人才是', '是你们的衣食父母', '找不到第三方担你之前，傻瓜才投', '担你', '投你平台', '找不到担保方', '看现在合规排名', '排名第一']], [], [], [['是大平台', '说29号到', '到账'], ['是要玩', '玩那样']], [['到款']], [['适合新人投资']], [['喜欢人人贷理财的新手红包']], [], [['信任人人贷']], [['算稳定']]]","['平台老', '平台大', '程度高', '网站不错', '费用高', '年华低', '手表新', '时间实际', '投资好', '赶脚稳稳', '老妈大', '平台不错', '信好', '平台大']"
30,投哪网,"[[['有广发的风投']], [['干爹', '完成b融资', '有信心'], ['保证投资者的资金安全']], [['沒显示', '充哪'], ['没有人工服务'], ['踩雷']], [['苦练内功', '増强投资人信心'], ['让投资人放心的得到', '得到收益']], [['投资了一段时间'], ['投资了一笔', '回访问银行卡后4位', '访问银行卡'], ['请问你们是', '是不相信', '相信快捷支付的安全性'], ['相信你们所谓的银行存管'], ['确认才能提现'], ['接这个电话', '是永远不到', '到账'], ['充值投标提现', '没有广发银行发来的资金短信提示'], ['是联合存管', '是直接存管', '有资金池']], [], [['就是利率低']], [['开通标', '提醒二天也没提醒']], [['让人怎么提现'], ['处理一次提现', '处理提现', '说什么国庆所有人都是', '是休息'], ['通过了竟然超过', '超过24小时', '到账']], [['提现', '说存管升级']], [['收取管理费', '到账', '使得资金增加', '增加了灵活性'], ['感到满意']], [['投资安心plus565期', '说正在匹配', '是已经第六天', '说现在都是', '是这种情况', '说那565期都没匹配'], ['像金字塔']], [['就是利率降低']], [['说是故障']], [['有一笔12万的到期'], ['是复利在投资'], ['是5600元'], ['给我5400元的利息'], ['给出满意的答复']], [['投哪平台']], [], [['收管理费', '是使用的券也有', '有管理费', '没问题']], [['是重仓平台', '投了60多万'], ['遇到任何问题'], ['需要电话核实', '缺乏了解', '造成误会'], ['算是中等偏高'], ['说正在进行中', '预计4月份完成']], [['提示虚拟账户余额不足']], [['没有回款', '没人接', '到底怎么回事']], [['需要这么多天'], ['有别的问题']], [['准备投', '投月标'], ['有额度'], ['等测评', '没标'], ['提前通知', '通知测评', '测评过期']]]","['投资者安全', '利率低', '期安心', '账户不足', '天多']"
31,蜂融网,"[[['让人放心']], [['有信息', '查到情况']], []]",[]
32,阿拉丁金服,"[[['换手机号码', '换其他地方']]]",[]
33,永利宝,"[[['负责任', '值得信任']], [['挺长2.发标', '是个摆设3.登陆', '反馈客服', '没人理', '理我4.发标有', '有时间', '告诉你', '告诉你这个时候有', '有可能有'], ['愿意为此付', '付法律责任']], [['没有数据']], [['算是老平台', '值得信任', '就是标难抢']], [['搞活动', '是被骗']]]",['平台老']
34,宜聚网,"[[['是宜聚网的一名投资人', '看不惯有些人在这里无事生非', '是互金协会会员', '有这个必要'], ['没有流动性']], [['是我第一个平台', '就是没', '没银行存管']], [['满意这个平台']], [['希望平台越来越好']], [['是我们操作问题', '是网站问题']], [['想备案']]]",['平台好']
35,冠腾投资,[[['值得信赖']]],[]
36,德银在线,[[]],[]
37,YES金融,"[[['准备抢一个月的试试', '做了个两万的三月标', '算是比较靠谱的平台']]]",['平台靠谱']
38,新融网,[[['赶上收益']]],[]
39,快快贷,"[[['有官方投资交流群'], ['建议增加', '有客服为投资人解答', '解答各种问题']]]",[]
40,普天贷,"[[['投普天金服', '希望能上', '上一些短期的标的'], ['希望能有', '有app']]]",[]
41,宜人贷,"[[['赢5.20号', '到账', '提示-退出中'], ['无人回复'], ['出问题'], ['逾期不要紧', '给个通知']], [], [['是平台的老用户总体来说还不错就是', '是利息太低']], [], [], [['值得进一步投资']], [['是收益不高再别的没毛病']], [['算透明'], ['算挺不错']], [['体现速度']], [['没有新手红包']], [['值得投']], [['还是支持']], [], [['要求注册资本在5000万元以上,为什么数数二企业才3000万元']], [['奔着排名'], ['宜定盈', '发现提前', '提前退出', '退出2%']], [['等上3天', '是没有', '没有收益', '占用出借人'], ['有截图为', '为证'], ['请大家注意']], [['是利率太低']], [], [['是宜人贷', '希望能更好']], [['开始投资明白的不是', '是很多'], ['继续努力']], [['准备通过之家的活动来参加这个平台的投资', '参加这个平台', '希望一切安好']], [['打客服电话']], [], [['换了一把不能用的伞']], [['投了指', '指旺财富', '是宜信', '宜信旗下产品']], [['就是利率太低'], ['建议短月标多些']], [['登不上去怎么回事']], [['需要客服']], [['来这里', '看吧http://blog.sina.com.cn/s/blog_e31d87770102vrdw.html']], [['没有一点诚信的平台小心你的本金']], [['希望改进']], [['披露比较透明可信，:下一步计划重仓']], [['有实力', '是收益有点低项目期限也比较长'], ['壹宝贷这样利率中等些的平台投资', '标16%']], [], [['到账']], [['是产品都比较适合', '适合稳健投资人']], [['得红包']], [['到期当天即能提现', '到账', '相信大平台']], [['提示自动升级'], ['咨询400客服', '让我换', '换个手机'], ['换手机']], [['有保障']], [['绑定也能注销卡的正规平台']], [['是利息', '是太低'], ['感觉还不如', '不如陆金所']], [], [['是不错']], [['为第一大平台', '失去信心']], [['算安全', '是这个利率', '加利率', '考虑基本']], [['多些产品']]]","['平台老', '利息低', '收益高', '利率低', '利率低', '月标短', '平台诚信', '计划透明', '收益低', '投资人稳健', '平台大', '平台正规', '平台大']"
42,京贷网,"[[['逾期十多天', '没了声音'], ['看标', '没有啥还款']], [['打码身份证']], [['开始回款']], [['是黑子', '只是一个羊毛客', '谈谈对这个平台的感受', '走羊毛', '下载了app', '感觉做', '是股权上市公司就认为', '认为没', '没问题']]]",[]
43,圈圈金服,"[[['有了银行存管收益', '成样子']]]",[]
44,爱鸿森,[[['体验试试']]],[]
45,瑞银创投,"[[['没人性', '认钱', '认爹', '做到什么事']]]",[]
46,爱投资,"[[['感觉爱投资很专业', '有实力', '有保障', '还有加息活动']], [['考虑是否进驻']], [['完成银行存管', '让投资人更安心']], [['是我的重仓平台']], [['变成小标', '知道能不能过关'], ['占比太大'], ['跌出了百强'], ['继续观察']], [['开始陆续投资', '有问', '提现免费']], [['觉得爱投资还是不错', '到帐', '投了三十万', '己过百万'], ['希望爱投资']], [['开始投资', '还是15%', '使用加息卷利息', '达到14%', '过去了我的资金', '无比较边缘化', '见这个网站靠羊毛维持', '让用户得到', '得到了实惠', '保持6位数的资金']], [['希望平台不会让', '让投资人失望']], [['提现免费', '就是今天看', '看十大借款人占', '占比咋那么高']], [['处理极']]]","['爱投资专业', '投资人安心', '投资人失望', '借款人大']"
47,掌众财富,"[[['说不出口', '说什么好']], [['是最高', '就是感觉', '感觉踏实']], [['只是一个小用户', '关注掌众财富的动态', '获得过十多项行业奖项', '用怀疑']], [['到账', '是最有', '有说服力']], [['相信掌众财富的安全', '有钱', '放在掌众财富', '出过啥问题']], [['见过他们团队的小伙伴', '还是挺丰富', '是爱', '爱屋']], [['喜欢他们专业的服务', '是买']]]","['用户小', '掌众财富安全']"
48,大同行,"[[], [['请理解', '理解透了再说话', '以为近期投资没', '没问题']], [['希望平台尽快通过备案，发展']], [['是变更', '变更了股权', '让投资人更加放心']]]",[]
49,红金所,"[[['问客服', '说今天能兑付', '没有人接', '跑路'], ['有没有投的投友', '有投']]]",[]
50,碧有信,"[[['有点低']], [['值得大家去投资的理财产品']]]",[]
51,掌存宝,"[[['骂人']], [['希望能安全']], [], [['是好平台']], [['有拆东墙补西墙的可能', '拆东墙', '补西墙']]]",['平台好']
52,悦家金融,"[[['关注很长时间', '做了一笔']]]",['时间长']
53,58财福,[[]],[]
54,微金所,"[[['没那么纠结', '用上红包Ycode年化收益']]]",[]
55,鄂汇金融,"[[['负责任', '没有费用']]]",[]
56,来存吧,"[[['没有记录', '知道资金的去向', '让人担心', '担心受怕']], [['是充值', '受影响']], [['适合百姓', '放心投资', '用了十几个平台', '是我最爱']], [['算透明']], [['用了大半年'], ['是客服老是不在线', '有问题', '让人着急']]]",['人着急']
57,壹宝贷,"[[['研究了平台', '是小平台外', '有三方托管'], ['算个靠谱的平台']], [['是不错', '取得了银行存管、三级安全等级备案等安保成绩', '使平台更加规范化', '是在很多平台上面都见'], ['抓紧备案', '相信不久的将来会更加规范']], [['觉得壹宝贷还是真心干事业的，平台核心团队和运营模式也是', '还是真心干事业', '是很专业正规', '有很多问题咨询', '咨询客服']], [['感觉还可以', '喜欢短期的标']]]","['平台靠谱', '银行安全']"
58,浙江车贷网,"[[['是不错', '是客服的专业知识还需要', '需要加强'], ['看他们平台', '搞一个杨梅节', '是投资人去', '算投资人见面会', '考虑要不要去']]]",[]
59,91旺财,"[[['感觉北京的房贷安全性会高']], [['让我获得', '获得了投资收益', '还有更多的活动活动参加'], ['记得那次的主题是', '是带', '带着钱', '去旅游活动', '写了一篇', '想到还中奖', '得了个一等奖', '是我人生里第一次获得的稿费'], ['送了挂历', '有次抽奖', '抽了个旺财娃娃', '送给女儿', '亲了又亲']]]",['房贷高']
60,虹金所,"[[['是我最早接触的平台之一', '感觉很稳定', '投入一部分', '希望以后收益越来越多']], [['知道为什么用', '用被黑', '继续留意']], [['看看，是', '是有', '有很多拖', '是xxxx的xx']], [['是我在浙江投资的算是', '算是一个非常好的平台', '提出他们的服务', '有什么问题', '得到很好的回复', '是越来越透明', '希望越来越好']]]","['平台早', '感觉稳定', '收益多', '平台好']"
61,多玺云,[[]],[]
62,多融财富,"[[['说了好不好']], [['是这么几个黑子', '造着同样的谣言', '看穿', '看出黑子', '充满了无奈'], ['受到法律的严惩']], [], [['曝光自融']], [['就是你们的榜样']], [['想多融自融的结局', '融自融']], [], [['跑路', '卷走了3千多人的血汗钱']], [['建议还在车上的赶紧下来']], [['是正规的信贷平台', '是老用户']], [['了解多融财富', '是国企中商沪深控股', '控股了99%', '算靠谱的国资控股平台'], ['投资了几笔收益', '超过1天', '正是工作日', '有兴趣']], [['说钱庄啥样现在的情况是', '是中商投的旗下就每一个靠谱的严重怀疑', '怀疑中商投动机不纯'], ['算个大老虎']], [['对比了很久选择', '让我失望']], [], [['利用普天金安与大圣理财', '骗了投资者几亿血汗钱', '置投资者死活']], [['说中商系', '系甩锅', '远离这些平台']], [['知道多融是', '是怎样控制', '控制风险'], ['希望能建', '建一个交流群', '方便投资者交流']], [['是自', '是中商系', '系所谓的国资平台', '有跑路嫌疑', '跑路']], [['黑多融'], ['说吧我们不关心', '关心平台', '关心今年年终奖', '有多少'], ['是中商沪深从金砖控股买', '来自融', '还是金砖控股', '代运营', '占股', '作为股权激励'], ['问平台怎么样跑', '理解你们的担心', '担心我们天天安抚', '说实在的也烦'], ['是我们所能决定', '看中商沪深'], ['说了中商沪深自融赚', '开得久一点', '找新股东'], ['没新资金流']], [['作为商业网点旗下的平台'], ['成为2017年最大的国资毒瘤']], [['删我帖子', '让我说', '说真话', '伤人']], [['给说法', '融出问题', '理你们']], [['投资过几次投资人', '是平台受', '受表面跟它有关系已雷的大圣理财影响', '有关系', '是躺', '躺枪'], ['说明什么问题大家想想'], ['看到黑子', '说不想', '想多融', '继续黑', '让多融', '找大圣', '要钱'], ['怕是', '是脑子进', '进水', '帮你要', '要钱'], ['算威胁']], [], [['让人看', '看着开心']], [['跑路']], [['唯恐天下不乱', '死了爹', '融黑倒', '有好处', '吃饱了撑的闲磨牙']]]","['结局多', '信贷正规', '用户老', '商靠谱', '投动机纯', '老虎大', '股东新', '资金新', '毒瘤大', '天下乱', '磨牙饱']"
63,易享贷,"[[['希望平台越来越好']], [['是那年的评点', '没发标']]]",['平台好']
64,河马在线,"[[['投过很多平台', '感觉这家算', '算比较踏实'], ['是收益没有', '以前不高', '希望能越来越好']]]",[]
65,车投网,[[['不见新手标']]],[]
66,普惠金融（皖）,"[[['是供销社旗下平台'], ['就是标', '有点少']], [['投他们家', '到账', '收手续费', '是标相对有', '有点少建议', '建议多发点短标']]]",[]
67,银湖网,"[[['要提现费']], [['回购', '是为了响应国家监管，合规', '响应国家监管', '是强监管年', '希望银湖网团队在备战合规，备案的同时，以投资人利益为', '备战合规', '为重点', '做好各方面风控', '辜负投资人对你的期望', '是业內唯一一家上市公司全资控股平台', '值得信赖']], [['加强风控']], [['怕人']], [['上市背景']], [['不知为什么总不温']], [['加个群都'], ['是这样', '考虑撤资']], [['建议再以前承诺大股东股票担保现没有', '拿着准备', '否决了拿', '拿投资人耍猴', '承诺好好的说', '说变', '变手机客户端', '没有了QQ打开', '点击人工服务', '没人投资', '发生这变化', '抢标1分钟满标', '到账']]]","['年强', '股东大']"
68,广信贷,"[[], [['看到网贷之家的返利注册', '抢不到标', '耽误时间']], [['没有办公场所的照片'], ['准备投标']], [['是目前看好的平台之一', '希望能够越来越好']], [['投了1万三个月信用标', '是不错']], [['放心平台', '相信前景美好']], [['借加息', '欺骗投资人充值', '是几秒钟内被抢', '需要接收', '输入验证码', '想买', '买标', '设置自动投标'], ['设置自动投标', '估计还得排', '排一个星期', '联系客户', '回答平台规则', '就是这样', '爱投'], ['收30元手续费'], ['让平台剥削手续费', '让资金站岗超过', '超过7天以上'], ['附有相关截图']], [['希望越来越好', '降息']], [['感觉不错', '想投', '投20有%', '到了80%'], ['算上中型平台', '希望平台再发展壮大越来越好'], ['是没有', '没有交流群', '占线']], [['返现实际', '回应有', '有点慢悠悠']], [['怕怕'], ['知道平台是否开始', '开始赢利']], [['感谢平台的客服'], ['给客服'], ['值得信赖', '希望越来越稳健']], [], [['设置自动抢标资金', '超过一周']], [['没有多少套路', '赚方便']], [['是持有中', '看不到标心']], [['显示可以持', '持三年']], [], [['是标难抢']], [['合规'], ['希望能开通', '开通投资交流论坛']], [['充了值', '投不了标']], [['还是不错', '希望能够顺利备案']], [['发现没标可', '无语555']], [['是难抢']], [['说银行存管很完全', '说帐号和银行卡不合', '不如其它存']], [['有一点']]]","['前景美好', '感觉不错', '平台好', '银行完全']"
69,金财动力,"[[['说：公司成立时注册资本5000万元'], ['筹备第八次增资'], ['请网贷之家人员核实', '核实一下信息是否属实']], [['建议投友们投', '投此平台'], ['以为国资系还放心', '知道什么时候能投', '投上标', '弄了个生财宝', '充值一个多星期', '是投'], ['投他处', '生这个气']]]",['信息属实']
70,可信贷,"[[['陪你们走', '上存', '存管', '希望继续']]]",[]
71,鲁班贷,"[[['说是搞', '搞活动', '让充', '充100体验', '让体现', '估计现在资金困难要跑', '捞一笔']], [['估计没', '没多少人去投资', '投资它', '看它鲁班钱包', '是一个大坑爹', '上传身份证', '想出这种方法']]]","['资金困难', '坑爹大']"
72,e微贷,[[]],[]
73,AI考拉,"[[['是屌丝理财', '适合我这种屌丝进行', '进行投资'], ['做分散投资', '买投资顾问']]]",[]
74,魔袋,[[['值得信赖']]],[]
75,恒信易贷,"[[['说声再见'], ['感到不安']], [['让你抢', '站岗10天以上', '明白怎么回事']], [['得到了缓解']], [], [['感觉平台标的真实', '希望存管']], [['有分公司', '查不到广州鹏誉商务服务有限公司']]]",['平台真实']
76,互贷网,[[['没问题']]],[]
77,日益网,"[[['投了网贷', '投了无数个平台', '就是日益网', '留住人心'], ['是一个好平台'], ['希望能一直保持', '保持稳定'], ['让我们理财', '无忧']]]",['平台好']
78,钱来网,"[[['说有', '有活动', '让我帮助', '帮助注册', '真是心累']], [['有信用保障的项目', '打脸'], ['是号称', '号称纯抵押']]]",['心累']
79,合力贷,"[[['看看怎么样', '希望稳健投资']], [['增加实缴', '实缴注册资本'], ['望早日改进']], [['是：标的时间三月左右利率15以上可转让']]]",[]
80,满兜理财,[[['就是利润低']]],['利润低']
81,融信网,[[]],[]
82,抱财网,"[[['到帐']], [['上30%', '是什么节奏']], [['投了大半年', '继续加仓']], [['列为A级平台']], [['值得投资']], [['到期撤资', '说三月底四月初，4月七号说是', '说是四月份']]]",[]
83,后河财富,"[[['有半年', '觉得平台挺不错'], ['希望多做', '做营销活动', '提高人气', '喜欢参加']], [['证明，后河确实是', '是一个非常有', '有良心的高收益型平台', '上存管协议'], ['做车贷现在已经做的非常大在之家排名也很高的那家', '强一万倍']]]","['平台不错', '后河确实', '良心高', '车贷大']"
84,新空间财富,"[[['有眼光']], [['希望越来越稳健']], [['来签到点', '祝越来越好', '是可观', '期待十二个月后的丰收']], [['放羊毛', '没有新钱', '还旧帐', '跑路']], [['希望平稳发展']]]",['钱新']
85,陆金服,"[[['感觉利率太低']], [['到期赎回', '问客服', '是T＋2要22号才能到', '要22号'], ['到账户', '知道提现', '等几天']], [['是我投P2p的首平台.各项指标都是', '投P2p', '是极级', '收g']], [['适合稳妥型投资']], [['算有', '有两年以上', '是相对而言比较低'], ['考虑到平台的安全性', '坚持优先选择']], [['是稳']], [['是标难抢']], [['没问题', '造成转让标', '使得收益更低', '有违P2P初衷', '建议改变', '改变改变']], [], [], [['公认老大']], [], [], [['希望越办']], [['是说', '说新手12%'], ['按活期率']], [], [['不知什么时候能还款']], [['是标的利率偏低']], [['撤出这个业务']], [['希望陆金服的高息产品多出', '出一点']], [['观察政策座实再投']], [['属于巨无霸级别']], [['是好多年以前', '是团长带团投资', '觉得这平台不咋滴'], ['变成了龙头老大', '是有', '有过人之处'], ['是安全']], [['嫌利息低退出', '投了50万以上', '超过15%'], ['适合思路灵活的投资者']], [['有靠山', '有保障']], [], [['买它', '买余额宝']], [], [['求稳', '要求不高的的投资者可以选择', '选择这个平台']], [['值得推荐'], ['投了几期点击计划', '加上奖励', '达到11上下'], ['是9.8了退出', '转让收费']], [['是能赚的平台']], [['玩文字游戏', '写6个月有效期', '看很容易就套', '估计就这一点就忽悠', '忽悠不少人']], [['需要大额资金能玩的转', '有钱', '求稳']], [['干爹牛']], [['看中知名度']], [['叫我投资', '说他们平台很安全', '等于贷款利息低', '就是非常坑爹', '等于放款利息低', '望大家注意', '注意这个问题']], [['就是利率低', '适合稳健投资者']], [], [], [['就是利率低']], [], [['就是网贷标根本抢']], [], []]","['利率低', '收益低', '标的低', '政策实', '利息低', '思路灵活', '投资者高', '平台安全', '贷款低', '利息低', '利率低', '投资者稳健', '利率低']"
86,百业贷,[[['观察再投资']]],[]
